link           ; page              ; title         ; projects                                                                                                                         ; text
/images/Book-0 ; Front Cover       ; The Light Book; Peterborough Cathedral: Prince of Wales Theatre, London: Boyne Bridge, Ireland                                                   ; 
/images/Book-1 ; Page 1            ;               ; Introduction                                                                                                                     ; 
/images/Book-2 ; Page 2            ; Cathedrals    ; St Paul's Cathedral, London: Christ Church Cathedral, Dublin: Abbeyfeale Church, Ireland                                         ; Cathedrals embody powerful images of the country's cultural and built heritage. They are both liturgical and historic spaces that are enjoyed for their dedication to God and for history. The lighting needs to respect and account for the day to day needs of the clergy and congregation as well as highlight the building for tourists. This all needs to be created within the context of an ancient building that needs to be preserved for future generations. A successful design will balance the  subtle accentuation of the architecture through the highlighting of columns, roofs and objects within the building, with the practical needs of the services and events in the building. While large cathedrals are soaring, numinous spaces, small churches have their own spiritual and practical needs to be considered.
/images/Book-3 ; Page 3            ;               ; Ely Cathedral                                                                                                                    ; 
/images/Book-4 ; Page 4            ;               ; Southwell Minster: St Paul's Cathedral Crypt: Christ Church Cathedral, Dublin, Crypt: Durham Cathedral                           ; 
/images/Book-5 ; Page 5            ;               ; Durham Cathedral                                                                                                                 ; 
/images/Book-6 ; Page 6            ;               ; Peterborough Cathedral: OBE Chapel, St Pauls's Cathedral Crypt: Durham Cathedral Quire: Ripon Cathedral Crypt                    ; 
/images/Book-7 ; Page 7            ;               ; Nelson's Tomb, St Paul's Cathedral Crypt                                                                                         ; 
/images/Book-8 ; Page 8            ; Museums       ; Contemporary Art Museum, Athens: Royal Academy, London: Ashmoleon Museum, Oxford                                                 ; Museums present complex lighting problems in requiring a balance between the technical requirements of the exhibits and their visibility to the visitors. Behind this is a need to light the architecture such that it supports the exhibits without over-powering them. Modern buildings present a different design challenge to historic buildings. Although they are often simpler as buildings it takes more ingenuity to make them attractive to the visitor. One off the greatest challenges is to light galleries as if they are daylight while needing to exclude the daylight to preserve the paintings. Modern exhibition requirements are strict in terms of how most paintings can be lit. It is always important to allow for differences in curatorial styles when lighting spacific exhibitions.
/images/Book-9 ; Page 9            ;               ; Fitzwilliam Museum, Cambridge                                                                                                    ; 
/images/Book-10; Page 10           ;               ; Somerset House, London: Wallace Collection, London: Fitzwilliam Museum, Cambridge                                                ; 
/images/Book-11; Page 11           ;               ; Museum of Contemporary Art, Athens                                                                                               ; 
/images/Book-12; Page 12           ;               ; Museum of Contemporary Art, Athens: Fitzwilliam Museum, Cambridge: Museum of Contemporary Art, Athens: Wallace Collection, London; 
/images/Book-13; Page 13           ;               ; Dulwich Picture Gallery, London                                                                                                  ; 
/images/Book-14; Page 14           ; Exteriors     ; Edinburgh Lighting Vision: Boyne Bridge, Ireland: Somerset House, London                                                         ; Exterior lighting takes many forms and provides a way to improve the environment in our cities. At one end of the spectrum is the need to light particular features, such as bridges, and at the other end are City Lighting Strategies. Strategies are complex studies that look at the way a city is set out and attempt to present a night- time view that is markedly different from the day-time view. Cities are plagued by street lighting and bad floodlighting. When creating a strategy it is necessary to look at areas in their context in terms of colour, brightness and people flow. Following the approval of a strategy the work starts on the detailed lighting of individual buildings and monuments. The three dimensional nature of this work makes it particularly interesting.
/images/Book-15; Page 15           ;               ; Chester Rows, England                                                                                                            ; 
/images/Book-16; Page 16           ;               ; Westin Hotel, Warsaw, Poland: Boyne Bridge, Ireland: Battle of Britain Monument, London: The Albert Memorial, London             ; 
/images/Book-17; Page 17           ;               ; Edinburgh Lighting Vision                                                                                                        ; 
/images/Book-18; Page 18           ;               ; Millenium Bridge, Dublin: Scarborough Lighting Strategy: The Albert Memorial: Oslo Station Tower, Norway                         ; 
/images/Book-19; Page 19           ;               ; Star City, Birmingham, England                                                                                                   ; 
/images/Book-20; Page 20           ; Theatres      ; Colossuem Theater, Essen, Germany: Geilgud Theatre, London: Duisburg Turbine Hall, Germany                                       ; Theatres are exciting buildings to light. Architectural lighting in a theatre considers the auditorium, foyer and exterior light. This must always provide a backdrop to the performance that is at the core of the building. The nature of the performance lighting is constantly changing so the architectural lighting needs to be able to work with whatever the stage lighting becomes. The nature of the building and its architecture is critical designing the lighting. Historic theatres, particularly in London, are looked after carefully and are often historic monuments needing sensitive treatment. In a theatre foyer it is important to take the people flows into account. These happen over short, intense periods around performances and so need to clearly mark and emphasise the routes people need to take.
/images/Book-21; Page 21           ;               ; Waterside Theatre, Aylesbury, England                                                                                            ; 
/images/Book-22; Page 22           ;               ; Sadler's Wells Theatre, London: Palladium Theatre, London: Megaron Concert Hall, Athens, Colosseum Theater, Essen                ; 
/images/Book-23; Page 23           ;               ; Manchester Concert Hall, England                                                                                                 ; 
/images/Book-24; Page 24           ;               ; Prince Edward Theatre, London, Megaron Cobcert Hall, Athens: Noel Coward Theatre, London: Sadler's Wells Theatre, London         ; 
/images/Book-25; Page 25           ;               ; Prince of Wales Theatre, London                                                                                                  ; 
/images/Book-26; Page 26           ;               ; The Design Office, Phoenix Large Ltd                                                                                             ; 
/images/Book-27; Page 27 Back Cover;               ; Copyright                                                                                                                        ; 
